order_id,Distance_Rider_from_Store,travel_time_to_store,Distance_to_Customer,travel_time_to_customer,order_status,delivery_status,distance_category,Date
2278979,8.84,0,12.39,57,Completed,Late,Long Distance,14/12/2024
2278980,5.18,0,6.44,0,Cancelled,Unknown,Long Distance,Null
2278981,0.59,0,4.09,37,Completed,On Time,Short Distance,14/12/2024
2278982,5.13,15,8.07,34,Completed,Late,Long Distance,14/12/2024
2278983,1.93,134,2.68,21,Completed,On Time,Short Distance,14/12/2024
2278984,3.32,0,4.74,28,Completed,On Time,Short Distance,14/12/2024
2278985,1.52,0,1.79,0,Cancelled,Unknown,Short Distance,Null
2278986,0.87,13,1.31,0,Completed,On Time,Short Distance,14/12/2024
2278987,0.99,9,1.47,0,Completed,Late,Short Distance,14/12/2024
2278988,2.15,0,4.12,0,Completed,On Time,Short Distance,14/12/2024
2278989,5.34,62,8.41,19,Completed,On Time,Long Distance,14/12/2024
2278990,4.81,0,6.38,37,Completed,On Time,Long Distance,14/12/2024
2278991,1.44,0,1.91,0,Cancelled,Unknown,Short Distance,Null
2278993,4.81,0,6.38,38,Completed,On Time,Long Distance,14/12/2024
2278994,3.54,0,6.91,0,Cancelled,Unknown,Long Distance,Null
2278996,7.64,5,14.67,34,Completed,Late,Long Distance,14/12/2024
2278997,0.89,0,1.34,7,Completed,On Time,Short Distance,14/12/2024
2278998,4.38,0,6.92,22,Completed,On Time,Long Distance,14/12/2024
2278999,2.31,0,4.36,30,Completed,Late,Short Distance,14/12/2024
2279000,0.57,0,4.33,13,Completed,Late,Short Distance,14/12/2024
2279001,1.07,5,2.45,10,Completed,On Time,Short Distance,14/12/2024
2279003,2.74,0,4.73,37,Completed,On Time,Short Distance,14/12/2024
2279004,7.25,0,11.12,47,Completed,Late,Long Distance,14/12/2024
2279005,1.37,1,1.99,21,Completed,Early,Short Distance,14/12/2024
2279006,2.59,0,5.09,34,Completed,On Time,Long Distance,14/12/2024
2279008,3.01,0,6.22,40,Completed,Late,Long Distance,14/12/2024
2279009,1.28,2,1.75,10,Completed,Late,Short Distance,14/12/2024
2279010,2.72,27,4.78,28,Completed,On Time,Short Distance,14/12/2024
2279011,0.32,0,0.35,6,Completed,On Time,Short Distance,14/12/2024
2279012,1.5,0,2.52,31,Completed,On Time,Short Distance,14/12/2024
2279013,3.26,82,5.82,30,Completed,On Time,Long Distance,14/12/2024
2279014,1.13,0,1.71,6,Completed,On Time,Short Distance,14/12/2024
2279015,8.06,0,13.64,41,Completed,On Time,Long Distance,14/12/2024
2279016,7.24,0,10.21,48,Completed,On Time,Long Distance,14/12/2024
2279017,1.57,0,3.78,0,Cancelled,Unknown,Short Distance,Null
2279020,1,14,1.53,5,Completed,On Time,Short Distance,14/12/2024
2279021,5.54,0,7.38,246,Completed,Late,Long Distance,14/12/2024
2279022,1.76,0,3.47,22,Completed,On Time,Short Distance,14/12/2024
2279023,4.77,0,8.63,44,Completed,On Time,Long Distance,14/12/2024
